Comunidad Autónoma;Provincia;codigo_ine;ubicacion;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
Andalucía;Granada;18030;Bérchules;29;<5;5;11;0;<5;8;0;<5;8;19;<5
Andalucía;Granada;18032;Bubión;26;<5;<5;6;<5;5;9;0;<5;<5;18;<5
Andalucía;Granada;18033;Busquístar;41;<5;5;13;<5;7;10;<5;<5;<5;33;<5
Andalucía;Granada;18034;Cacín;25;<5;<5;6;0;7;8;<5;0;<5;20;<5
Andalucía;Granada;18035;Cádiar;120;7;13;40;<5;23;34;8;<5;17;81;10
Andalucía;Granada;18036;Cájar;356;16;43;78;11;87;121;7;20;32;267;30
Andalucía;Granada;18037;Calicasas;61;<5;9;12;<5;17;16;5;<5;14;35;<5
Andalucía;Granada;18038;Campotéjar;66;<5;7;19;5;14;19;16;<5;6;37;5
Andalucía;Granada;18039;Caniles;209;5;26;61;7;54;56;41;15;25;120;8
Andalucía;Granada;18040;Cáñar;38;<5;<5;17;0;<5;13;<5;<5;6;27;<5
Andalucía;Granada;18042;Capileira;40;<5;8;15;<5;<5;12;0;<5;5;33;<5
Andalucía;Granada;18043;Carataunas;16;0;<5;5;0;<5;7;0;0;<5;10;<5
Andalucía;Granada;18044;Cástaras;8;<5;<5;<5;0;0;<5;<5;0;<5;<5;<5
Andalucía;Granada;18045;Castilléjar;84;<5;10;33;<5;15;22;13;<5;13;54;<5
Andalucía;Granada;18046;Castril;132;5;19;42;10;21;35;16;5;22;83;6
Andalucía;Granada;18047;Cenes de la Vega;744;35;102;153;22;162;270;16;36;50;570;72
Andalucía;Granada;18048;Cijuela;333;22;57;56;18;96;84;28;24;26;222;33
Andalucía;Granada;18049;Cogollos de Guadix;45;<5;<5;17;<5;8;12;<5;<5;6;31;<5
Andalucía;Granada;18050;Cogollos de la Vega;176;11;39;41;<5;45;36;28;8;51;79;10
Andalucía;Granada;18051;Colomera;87;5;12;19;11;18;22;9;5;15;50;8
Andalucía;Granada;18053;Cortes de Baza;98;<5;16;21;7;22;29;11;8;<5;67;8
Andalucía;Granada;18054;Cortes y Graena;84;<5;8;18;5;19;32;7;<5;12;59;<5
Andalucía;Granada;18056;Cúllar;246;8;32;52;11;56;87;21;20;23;167;15
Andalucía;Granada;18057;Cúllar Vega;647;33;83;116;35;114;266;18;35;53;475;66
Andalucía;Granada;18059;Chauchina;452;29;85;96;37;107;98;47;24;64;263;54
Andalucía;Granada;18061;Chimeneas;71;<5;12;17;6;12;21;7;<5;9;36;16
Andalucía;Granada;18062;Churriana de la Vega;1386;59;209;249;51;357;461;40;59;231;940;116
Andalucía;Granada;18063;Darro;177;17;37;35;14;51;23;48;<5;42;72;14
Andalucía;Granada;18064;Dehesas de Guadix;14;<5;<5;<5;0;<5;<5;<5;0;<5;9;<5
Andalucía;Granada;18065;Dehesas Viejas;31;0;<5;6;<5;7;13;6;<5;0;21;<5
