ubicacion,codigo_ine,Comunidad Autónoma,Provincia,%_casas_vacias,Viviendas totales,Mediana consumo anual,Viviendas con bajo consumo,Viviendas de uso esporádico,prev_res_misma_vivienda,prev_res_mismo_municipio,prev_res_misma_provincia,prev_res_misma_comunidad,prev_res_dif_comunidad,prev_res_en_extranjero,prev_res_no_nacido,Poblacion,Poblacion_-16,Poblacion_16-64,Poblacion_+65,Hombres,Hombres_-16,Hombres_16-64,Hombres_+65,Mujeres,Mujeres_-16,Mujeres_16-64,Mujeres_+65,total Paro Registrado,Paro hombre edad < 25,Paro hombre edad 25 -45 ,Paro hombre edad >=45,Paro mujer edad < 25,Paro mujer edad 25 -45 ,Paro mujer edad >=45,Paro Agricultura,Paro Industria,Paro Construcción,Paro Servicios,Paro Sin empleo Anterior,SUPERFICIE,PERIMETRO,LONGITUD_ETRS89,LATITUD_ETRS89,ALTITUD
    08285 Torelló,8285,Cataluña,Barcelona,8.56231972066191,6587,2361,109,383,4333,5956,1477,321,235,780,1435,14537,2394,9247,2896,7257,1210,4776,1271,7280,1184,4471,1625,650,25,74,164,14,132,241,7,174,32,391,46,1351.6,22899,2.26334489,42.04691464,507.0
    08287 Torrelavit,8287,Cataluña,Barcelona,17.050067658998646,739,2591,22,57,350,568,274,16,24,30,165,1427,257,895,275,723,133,456,134,704,124,439,141,42,3,6,8,0,10,17,5,7,1,33,0,2372.23,28006,1.72993358,41.44680602,210.0
    08288 Torrelles de Foix,8288,Cataluña,Barcelona,21.16430903155604,1838,1972,93,212,786,616,606,48,63,144,228,2491,408,1642,441,1317,214,882,221,1174,194,760,220,190,8,33,51,8,37,53,10,27,20,111,22,3704.03,33880,1.572479904,41.38801064,366.0
    08289 Torrelles de Llobregat,8289,Cataluña,Barcelona,7.17315850366371,2593,3013,42,115,2552,1412,1254,67,76,149,611,6121,1143,4167,811,3033,574,2089,370,3088,569,2078,441,184,10,24,44,8,28,70,0,22,13,141,8,1368.01,16667,1.9813139,41.35670959,125.0
    08290 Ullastrell,8290,Cataluña,Barcelona,8.780487804878048,820,3274,11,22,793,552,447,18,23,28,242,2103,448,1374,281,1058,226,704,128,1045,222,670,153,70,2,7,14,5,12,32,1,9,7,52,1,745.62,16347,1.95745933,41.5276177,313.0
    08291 Vacarisses,8291,Cataluña,Barcelona,19.61154572430537,3707,3074,61,263,2852,1165,1983,62,105,163,757,7087,1396,4829,862,3652,748,2487,417,3435,648,2342,445,314,10,55,69,10,72,98,2,52,27,214,19,4050.29,38261,1.918738335,41.60589503,397.69
    08292 Vallbona d'Anoia,8292,Cataluña,Barcelona,14.029850746268655,670,2456,22,53,494,485,210,21,31,39,100,1380,209,888,283,704,122,454,128,676,87,434,155,70,7,7,10,2,15,29,0,12,3,50,7,643.13,14400,1.70566952,41.51894458,287.0
    08294 Vallgorguina,8294,Cataluña,Barcelona,14.878048780487804,1640,2656,30,129,1176,461,884,68,46,97,335,3067,615,2075,377,1563,318,1070,175,1504,297,1005,202,158,0,23,38,7,23,67,5,24,12,116,5,2234.68,24599,2.51016495,41.64771563,221.0
    08295 Vallirana,8295,Cataluña,Barcelona,10.994387681680816,6949,2982,103,365,5798,4425,2801,153,283,478,1491,15429,2720,10052,2657,7722,1373,5103,1246,7707,1347,4949,1411,591,16,90,132,19,114,220,5,70,54,430,32,2384.69,22291,1.931791306,41.38794775,177.0
    08296 Vallromanes,8296,Cataluña,Barcelona,11.1495246326707,1157,3440,10,65,1074,514,592,22,46,108,239,2595,480,1783,332,1357,265,929,163,1238,215,854,169,79,5,7,20,3,12,33,4,13,6,57,4,1061.99,15601,2.30830348,41.52613666,231.0
